sample,total_seconds,phase,phase_seconds,reset_count,selected_index,node_grip,node_two_hand,node_primary,dominant_slot,dominant_error,support_error,dominant_finger_distance,support_finger_distance,dominant_finger_readiness,support_finger_readiness,body_self_legal,body_self_illegal_count,collision_pose_legal,collision_path_legal,right_hand_y_forearm_dot,left_hand_y_forearm_dot,right_hand_x_tip_plane_dot,left_hand_x_tip_plane_dot,dominant_hand_y_error,dominant_hand_x_side_error,right_ik_error,left_ik_error,right_hand,right_ik,left_hand,left_ik,weapon_pos,right_index3,right_mid3,right_thumb3,left_index3,left_mid3,left_thumb3
21,0.3167,1,0.3167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
22,0.3333,1,0.3333,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
23,0.3500,1,0.3500,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
24,0.3667,1,0.3667,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
25,0.3833,1,0.3833,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
26,0.4000,1,0.4000,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
27,0.4167,1,0.4167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
28,0.4333,1,0.4333,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
29,0.4500,1,0.4500,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
30,0.4667,1,0.4667,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
31,0.4833,1,0.4833,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
32,0.5000,1,0.5000,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
33,0.5167,1,0.5167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
34,0.5333,1,0.5333,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
35,0.5500,1,0.5500,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
36,0.5667,1,0.5667,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
37,0.5833,1,0.5833,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
38,0.6000,1,0.6000,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
39,0.6167,1,0.6167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
40,0.6333,1,0.6333,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
