sample,total_seconds,phase,phase_seconds,weapon_pos,right_hand,left_hand,right_ik,left_ik,right_target_error,left_target_error,dominant_error,support_error,right_guidance,left_guidance,right_ik_active,left_ik_active
496,8.2000,3,2.1667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
497,8.2167,3,2.1833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
498,8.2333,3,2.2000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
499,8.2500,3,2.2167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
500,8.2667,3,2.2333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
501,8.2833,3,2.2500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
502,8.3000,3,2.2667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
503,8.3167,3,2.2833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
504,8.3333,3,2.3000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
505,8.3500,3,2.3167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
506,8.3667,3,2.3333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
507,8.3833,3,2.3500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
508,8.4000,3,2.3667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
509,8.4167,3,2.3833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
510,8.4333,3,2.4000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
511,8.4500,3,2.4167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
512,8.4667,3,2.4333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
513,8.4833,3,2.4500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
514,8.5000,3,2.4667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
515,8.5167,3,2.4833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
516,8.5333,3,2.5000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
517,8.5500,3,2.5167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
518,8.5667,3,2.5333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
519,8.5833,3,2.5500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
520,8.6000,3,2.5667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
521,8.6167,3,2.5833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
522,8.6333,3,2.6000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
523,8.6500,3,2.6167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
524,8.6667,3,2.6333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
525,8.6833,3,2.6500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
526,8.7000,3,2.6667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
527,8.7167,3,2.6833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
528,8.7333,3,2.7000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
529,8.7500,3,2.7167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
530,8.7667,3,2.7333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
531,8.7833,3,2.7500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
532,8.8000,3,2.7667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
533,8.8167,3,2.7833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
534,8.8333,3,2.8000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
535,8.8500,3,2.8167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
536,8.8667,3,2.8333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
537,8.8833,3,2.8500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
538,8.9000,3,2.8667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
539,8.9167,3,2.8833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
540,8.9333,3,2.9000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
541,8.9500,3,2.9167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
542,8.9667,3,2.9333,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
543,8.9833,3,2.9500,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
544,9.0000,3,2.9667,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
545,9.0167,3,2.9833,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
546,9.0333,3,3.0000,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
547,9.0500,3,3.0167,"(-0.12591 0.76687 0.12620)","(-0.10283 0.90446 0.18856)","(0.10228 0.86527 -0.14469)","(-0.11047 0.85880 0.19563)","(0.21271 0.85458 -0.04148)",0.046837,0.151527,0.169800,0.700113,true,false,false,false
