sample,total_seconds,press,press_seconds,focus,selected_index,node_grip,node_tip,node_pommel,resolved_tip,resolved_pommel,display_tip,display_pommel,weapon_pos,weapon_step,weapon_basis_step_degrees,dominant_error,dominant_finger_distance,dominant_readiness,collision_pose_legal,body_self_legal,right_hand_y_forearm_dot,left_hand_y_forearm_dot,right_hand_x_tip_plane_dot,left_hand_x_tip_plane_dot
78,1.2833,2,0.2833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
79,1.3000,2,0.3000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
80,1.3167,2,0.3167,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
81,1.3333,2,0.3333,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
82,1.3500,2,0.3500,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
83,1.3667,2,0.3667,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
84,1.3833,2,0.3833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
85,1.4000,2,0.4000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
86,1.4167,2,0.4167,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
87,1.4333,2,0.4333,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
88,1.4500,2,0.4500,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
89,1.4667,2,0.4667,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
90,1.4833,2,0.4833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
91,1.5000,2,0.5000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
92,1.5167,2,0.5167,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
93,1.5333,2,0.5333,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
94,1.5500,2,0.5500,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
95,1.5667,2,0.5667,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
96,1.5833,2,0.5833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
97,1.6000,2,0.6000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
98,1.6167,2,0.6167,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
99,1.6333,2,0.6333,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
100,1.6500,2,0.6500,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
101,1.6667,2,0.6667,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
102,1.6833,2,0.6833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
103,1.7000,2,0.7000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
104,1.7167,2,0.7167,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
105,1.7333,2,0.7333,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
106,1.7500,2,0.7500,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
107,1.7667,2,0.7667,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
108,1.7833,2,0.7833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
109,1.8000,2,0.8000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
110,1.8167,2,0.8167,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
111,1.8333,2,0.8333,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
112,1.8500,2,0.8500,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
113,1.8667,2,0.8667,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
114,1.8833,2,0.8833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
115,1.9000,2,0.9000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
116,1.9167,2,0.9167,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
117,1.9333,2,0.9333,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
118,1.9500,2,0.9500,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
119,1.9667,2,0.9667,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
120,1.9833,2,0.9833,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
121,2.0000,2,1.0000,tip,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.05672 -2.11877 1.51793),(-0.19104 0.73154 1.86910),(-0.22960 1.80268 -0.10845),0.000000,0.000000,0.255057,0.109745,0.767640,true,true,1.000000,0.972929,0.972235,-0.765823
122,2.0167,3,0.0167,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.129899,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
123,2.0333,3,0.0333,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
124,2.0500,3,0.0500,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
125,2.0667,3,0.0667,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
126,2.0833,3,0.0833,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
127,2.1000,3,0.1000,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
128,2.1167,3,0.1167,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
129,2.1333,3,0.1333,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
130,2.1500,3,0.1500,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
131,2.1667,3,0.1667,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
132,2.1833,3,0.1833,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
133,2.2000,3,0.2000,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
134,2.2167,3,0.2167,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
135,2.2333,3,0.2333,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
136,2.2500,3,0.2500,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
137,2.2667,3,0.2667,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
138,2.2833,3,0.2833,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
139,2.3000,3,0.3000,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
140,2.3167,3,0.3167,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
141,2.3333,3,0.3333,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
142,2.3500,3,0.3500,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
143,2.3667,3,0.3667,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
144,2.3833,3,0.3833,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
145,2.4000,3,0.4000,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
146,2.4167,3,0.4167,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
147,2.4333,3,0.4333,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.03088 -2.07270 1.63661),(-0.16521 0.77761 1.98778),(-0.22473 1.92136 -0.16104),0.000000,0.000000,0.220724,0.068799,0.982327,true,true,1.000000,0.972929,0.999611,-0.998110
